nyc_transit/target/compiled/nyc_transit/analyses/trips_duration_grouped_by_borough_zone.sql
select
    Borough,
    Zone,
    count(*),
    avg(duration_min)
from
    "main"."mart"."mart__dim_locations" dl
join
    "main"."mart"."mart__fact_all_taxi_trips" t
on dl.LocationID = t.pulocationid
group by all
order by Borough, Zone;
'Borough','Zone','count_star()','avg(duration_min)'
'Manhattan','Upper East Side North',478225,15.886869151550001788
'Manhattan','Upper East Side South',510543,14.604932395508312126
'Manhattan','Upper West Side North',317051,16.636553740565396708
'Manhattan','Upper West Side South',363061,16.244923029463368635
'Manhattan','Washington Heights North',203005,17.021960050245066753
'Manhattan','Washington Heights South',307492,16.978737658215496963
'Manhattan','West Chelsea/Hudson Yards',348791,18.023911167432647317
'Manhattan','West Village',394143,16.52069426578678346
'Manhattan','World Trade Center',125029,21.466899679274408895
'Manhattan','Yorkville East',209797,13.513262820726701818
'Manhattan','Yorkville West',311599,16.059605454446259642
'Queens','Astoria',334413,16.488856593493675717
'Queens','Astoria Park',1396,17.318051575931232121
'Queens','Auburndale',27380,16.395398100803507901
'Queens','Baisley Park',119460,16.039159551314249085
'Queens','Bay Terrace/Fort Totten',22945,18.383046415341034673
'Queens','Bayside',60409,16.328278898839577948
'Queens','Bellerose',24390,17.150963509635097636
'Queens','Breezy Point/Fort Tilden/Riis Beach',3282,29.833028641072516506
'Queens','Briarwood/Jamaica Hills',75436,16.670833554271169418
'Queens','Broad Channel',1592,18.129396984924621705
'Queens','Cambria Heights',37529,17.122571877747873259
'Queens','College Point',45617,30.297827564285245926
'Queens','Corona',121113,15.854672908771147987
'Queens','Douglaston',17748,17.606378183457291441
'Queens','East Elmhurst',80637,17.969344097622681033
'Queens','East Flushing',35664,25.942659264244056771
'Queens','Elmhurst',246253,16.542953791425890841
'Queens','Elmhurst/Maspeth',66595,15.589368571214055947
'Queens','Far Rockaway',67725,24.03989664082687483
'Queens','Flushing',153299,32.917383675040284174
'Queens','Flushing Meadows-Corona Park',17047,24.186191118671906963
'Queens','Forest Hills',202930,17.624545409747202739
'Queens','Forest Park/Highland Park',5044,18.013481363996827866
'Queens','Fresh Meadows',28603,16.876166835646611019
'Queens','Glen Oaks',24764,19.075593603618155924
'Queens','Glendale',82127,16.162504413895550925
'Queens','Hammels/Arverne',60146,23.324477105709441105
'Queens','Hillcrest/Pomonok',73436,18.078599052235961863
'Queens','Hollis',41159,17.056318180713816445
'Queens','Howard Beach',43638,16.349763967184564705
'Queens','JFK Airport',518933,37.105730412211208602
'Queens','Jackson Heights',267213,16.572711656992737516
'Queens','Jamaica',222145,16.279087983074116863
'Queens','Jamaica Bay',78,28.435897435897434348
'Queens','Jamaica Estates',50828,16.838848666089557326
'Queens','Kew Gardens',69361,16.201467683568576916
'Queens','Kew Gardens Hills',55931,17.538055818776708605
'Queens','LaGuardia Airport',446096,29.985379828557082505
